replica;avg_rt_e;avg_rt_c;util_edge;util_cloud
0;2.063286789003582;3.873398166381536;0.7570675288771038;0.44297757132677174
1;2.0256153708536577;3.8595118945567766;0.7535501186842353;0.4449433834844082
2;2.039291111846478;3.8914708798466906;0.7528576590193943;0.4449012661309162
3;2.0289241469414554;3.925023114007466;0.7554012572380362;0.4497224655197682
4;2.054696272346941;3.903052698534932;0.7556360553118388;0.44712206364003104
5;1.9931182190049868;3.809670646690793;0.7500850283057293;0.4422789931690672
6;1.9765419829020243;3.8154277641412015;0.7530101679303747;0.44717762396785854
7;2.0583552359474426;3.913505583857077;0.7577392646246282;0.44736738843525636
8;2.0762219800717543;3.995401782013704;0.7594785704453693;0.4502502654867104
9;2.0006399494145732;3.8270360506503467;0.7517129223419906;0.4481804460584444
10;2.0617139668733784;3.9382597858122566;0.7551828765813245;0.447614611819702
11;1.9954511761760179;3.836326658078975;0.7517695788413906;0.4432337404655163
12;2.0593829306330353;3.9080267011366887;0.7546151139157836;0.44784892483549954
13;2.0314450174262504;3.8769515308754823;0.751606732780135;0.4493039001821727
14;2.0322388657102084;3.8564211827303327;0.7569639626669855;0.4464219061096095
15;2.0767412548792503;3.8755828657229574;0.7577708197148455;0.45040838967099106
16;2.0320832859868014;3.873495198476212;0.7538120685355085;0.44432167603468475
17;2.1151533892112626;3.9993718648723977;0.7574218655461962;0.4520577193655565
18;2.039894363890367;3.922450751758313;0.7559409240139667;0.4541284645877787
19;1.9655880971047874;3.802212610671653;0.7470017436015371;0.4475730867869021
20;2.019117402759268;3.874562185071209;0.7562412595542937;0.44823358875188235
21;2.0466297618484375;3.9110803288219467;0.7523285893182544;0.44806436029939367
22;2.0908076498384536;3.975418596163377;0.7603073258644103;0.45192787849011623
23;2.0581549502287078;3.937659356887811;0.754350229385767;0.4494855718704901
24;2.0924330348218017;3.942855055984095;0.7594694496246984;0.4477111283207658
25;2.046993666861152;3.87946532286734;0.7546989072965101;0.44109211978537427
26;2.0685801876005843;3.950384713776694;0.7609095915412124;0.4510509559708719
27;2.0543864738323396;3.9600589729009634;0.7583644997953016;0.4508598629603572
28;2.082762198940402;3.9394505508583446;0.7619493501839705;0.45032812398094973
29;2.061494914579989;3.897424889390337;0.7530362434531904;0.4434749409635304
30;2.0314774903237853;3.90819329388656;0.7558507709509986;0.4498326391939209
31;2.1370750978086335;4.014799606402536;0.7591402265851154;0.4468622045710842
32;2.044020489553716;3.9197775684029867;0.7540234687044945;0.45074173670426537
33;2.0700975964201973;3.9508795070583114;0.7577910590579104;0.44671899974998636
34;2.0679575279791664;3.8859880337720307;0.7556310025219091;0.4500562246588767
35;2.031363702888909;3.9272324334677418;0.7580270625793498;0.452813194694917
36;2.064301133013023;3.9379714716726952;0.7553057927189809;0.445873203847029
37;2.0044660425147907;3.8721844591529;0.7501446971107052;0.44355897786030574
38;2.098194228633624;3.927902441253859;0.753536528133914;0.4430757729511436
39;1.9955933592357362;3.8333202916482927;0.7518936654887006;0.4484664830357659
40;2.138024200126718;4.0174664563100615;0.762378084062235;0.44994174550571536
41;2.025868376722713;3.88168080674781;0.7547449689672961;0.4471736026164471
42;2.0415126719108385;3.8894032419745765;0.7561397640797388;0.44894128938320704
43;2.159795790323631;4.070847562620969;0.7574151830366181;0.4476418711796333
44;1.9776502746214533;3.82503987584196;0.7519340809444108;0.44551444321552247
45;2.0731193383574746;3.9347314725757614;0.7598318803084683;0.4517403943603534
46;2.06001398989515;3.9380960859098635;0.7567563201582628;0.4448379613569412
47;2.0372544134751154;3.9113387405496423;0.7569377745847672;0.45230018127509836
48;2.0325122261593216;3.9119624849424763;0.756105606701668;0.44589297262254424
49;2.0583073466663535;3.9437707664410637;0.7609464926445373;0.44722385678682186
50;2.0383943608523496;3.862404467300087;0.7558887071802792;0.447710730394551
51;2.051777370545278;3.9004291113180884;0.7551562429776222;0.44938922392065056
52;2.039589373668269;3.888561968398628;0.7538143107782368;0.4438753263762712
53;2.039758226618375;3.8536053771007346;0.752687451474768;0.44122253471470074
54;2.0958775181087885;3.9357927977694365;0.7572178076312759;0.45162949516363665
55;2.0559406675506167;3.9286145573126854;0.7587931310108937;0.4513675254916255
56;2.0060509091055976;3.873976676388114;0.7554641758500241;0.45178985269073985
57;1.9870111596735467;3.847208197047507;0.7534938924964175;0.44672763604400845
58;2.0620435081317083;3.952763366747025;0.7575794267576641;0.448084240443074
59;1.9993994974048062;3.9203992804150367;0.7548882498397503;0.4546938138287864
60;2.000091700965008;3.868445250822502;0.7584165170111039;0.4458504297472348
61;2.0549124881095864;3.8879813819766653;0.7543411934839042;0.4436276555690877
62;2.01700251494323;3.8591573110398993;0.7527991822510145;0.44084505495234977
63;2.0625967849086164;3.900711015301574;0.757063576551438;0.44587333747047975
64;2.052439755069582;3.9126639804733334;0.7569801238350007;0.4483373142990771
65;2.0584121082617446;3.9087228320884417;0.7574744797290532;0.452111337231511
66;2.007281395122358;3.870610264990538;0.7519147391415578;0.44275625302703636
67;2.142906037766052;4.044049824055258;0.7584033691215213;0.4520777933745181
68;2.020983715551253;3.8484151601871885;0.7576714682139036;0.44515083058789146
69;2.002548001711906;3.8574692514181996;0.753540872348008;0.4466354607467985
70;2.000363499779811;3.8421175851404126;0.7528420681579746;0.4441066674368624
71;2.0606388750188263;3.973324719214615;0.7555972909927803;0.4532532388149907
72;2.09835462786818;3.9639422896655967;0.7567154804168542;0.45115518461493415
73;2.065036123088906;3.9537064627945258;0.7597417259002356;0.44973006162097257
74;2.043808000486435;3.866666956360854;0.7566524969444525;0.44979942085770086
75;2.0062297069154647;3.8540458711166323;0.7536183776404036;0.4517964565241285
76;2.047363465651381;3.9276813438498595;0.7541694680119532;0.4460947652517544
77;1.998657550651359;3.819314863567456;0.75392656807651;0.4433966465443394
78;2.04502491177393;3.9072390857789285;0.7584805122375887;0.44631248254543926
79;2.029129176105209;3.90282894425996;0.7535913849629593;0.449433069776335
80;2.095493737640193;3.9089020314482203;0.7594469179099568;0.4479574318399586
81;2.030185034120672;3.88418122892916;0.7573047333376319;0.4484845878712314
82;1.9992025532166926;3.8764639834116337;0.7532645261224699;0.44966381494545804
83;1.975019744678814;3.819745420228918;0.7471680200714086;0.4456486923696394
84;2.0878549673018094;3.9863713831332075;0.7598950034474722;0.44750202473241874
85;2.0655171825246965;3.9022995182419975;0.7568072134311851;0.4468339698178047
86;2.025312009764736;3.907527918943801;0.7541246205090689;0.4475985524572201
87;2.074018845275397;3.945857918360691;0.7574454516629738;0.44797004606966073
88;1.9868506363469784;3.8500011219213484;0.7545799044566611;0.4491070648274664
89;2.0552489630130197;3.8975730167456115;0.751378383327554;0.4479907849616212
90;2.005428745783478;3.8512091198200715;0.7540201466476273;0.4447011218289069
91;1.995668282380434;3.8712846749888112;0.7519081904475681;0.4467717586068398
92;1.987172175571812;3.8260434142733586;0.7547842922485444;0.4455697792864364
93;2.06499835887579;3.85146494159761;0.7557137869726591;0.447324558435515
94;2.0715747582034925;3.9347281102253775;0.7537524001916514;0.44668519037994575
95;2.0389695684381866;3.8837797008830046;0.7548033000668254;0.44508363268984696
96;2.0873889170599624;3.954308374803765;0.7554798227070558;0.44578226546661487
97;2.0690968425490945;3.9327185011070647;0.7553211760095064;0.451286655206703
98;2.138356583434081;4.0045248810766525;0.7602784187450858;0.45258490493743037
99;2.089782687270518;3.97345346264096;0.7612617002871932;0.44992778911200343
100;2.09726353269641;3.906292803401774;0.7538489507655541;0.44088627803463487
101;2.0602373649969454;3.898010061837167;0.7580581796488185;0.44873345933616543
102;1.9851895282421814;3.8056202444229488;0.7542644375411843;0.4431231867368894
103;2.0598439057903097;3.933625808176452;0.7562255617293081;0.4505414948981749
104;2.0716746583674808;3.9047811303080957;0.7581058699771227;0.4458809111366045
105;2.050412951014745;3.8939932921469316;0.7519423620452693;0.4468016298250578
106;2.0297950504833007;3.852349824359307;0.7558141362625203;0.4426584908003491
107;2.041825582166831;3.897257187207586;0.7560410899934176;0.44701797601793025
108;2.109153417005065;3.9684826337755728;0.7583890284262403;0.44672079212638977
109;1.9913836098583202;3.8513761774405766;0.7530311085397751;0.4467299442997513
110;2.0888601200655343;3.983372323104987;0.7614670466205561;0.4495173936535591
111;2.0324516338684093;3.881914718934392;0.755676964334129;0.44550454383572163
112;2.064563676524367;4.002727671185813;0.7595238381461589;0.4552092362049673
113;1.9960094238307835;3.843853255405838;0.7573555633148056;0.45007431369764245
114;2.089355404714071;3.990051982417722;0.757625565735167;0.45010376017293463
115;2.0450647880135513;3.941375806746678;0.7562224251262282;0.44721752812537896
116;2.036277887340286;3.9078231239556134;0.7583245369782279;0.4505479921722414
117;2.060630251671093;3.920353540242338;0.7556712439927824;0.4439475437414004
118;2.0275493927592727;3.868805496624192;0.74973425652524;0.4461657883493169
119;2.0041629763655937;3.850701428500831;0.7511479952410771;0.4514637896562234
120;2.0812511039449504;3.9855591395503818;0.7584911151209462;0.4507571371322217
121;2.066505798079657;3.9591035873865774;0.7607855617898356;0.45143744898939187
122;2.054840989180526;3.924294351705615;0.7559812105161626;0.44692403000869185
123;2.088987624295936;3.953054499550831;0.7579743288378461;0.44949824813063666
124;2.0616195786619196;3.938589776786183;0.751937498626186;0.4489485441961228
125;2.0444808471901;3.9058318573686175;0.7565599228255714;0.4501077218575498
126;2.0119513463079213;3.8929257816664067;0.7527991355162685;0.44900463835483395
127;2.1016100784551255;3.9669272505874242;0.7623267866277605;0.4473805319204406
